feature,importance
text__charlie,1.7224704348551179
text__bravo,1.7153121664950863
text__alpha,1.6997367223073112
text__charlie scene,1.503061772963511
text__labeled charlie,1.503061772963511
text__labeled bravo,1.495138077097922
text__bravo scene,1.495138077097922
text__alpha scene,1.4782299607310776
text__labeled alpha,1.4782299607310776
text__box in,0.7673950267050612
text__box,0.7673950267050612
text__pink,0.7673950267050612
text__pink box,0.7673950267050612
text__the pink,0.7673950267050612
text__cube,0.7559639425959003
text__orange cube,0.7559639425959003
text__cube in,0.7559639425959003
text__the orange,0.7559639425959003
text__orange,0.7559639425959003
text__purple,0.7532054343467788
